"","YEAR","site_web_trans","site","web","transect","yrID","siteID"
"118",1993,"LATR_5_36","LATR","5","36",2,58
"119",1993,"LATR_5_60","LATR","5","60",2,59
"120",1993,"LATR_5_84","LATR","5","84",2,60
"121",1994,"BOER_1_108","BOER","1","108",3,1
"122",1994,"BOER_1_12","BOER","1","12",3,2
"123",1994,"BOER_1_132","BOER","1","132",3,3
"124",1994,"BOER_1_36","BOER","1","36",3,4
"125",1994,"BOER_1_60","BOER","1","60",3,5
"126",1994,"BOER_1_84","BOER","1","84",3,6
"127",1994,"BOER_2_108","BOER","2","108",3,7
"128",1994,"BOER_2_12","BOER","2","12",3,8
"129",1994,"BOER_2_132","BOER","2","132",3,9
"130",1994,"BOER_2_36","BOER","2","36",3,10
"131",1994,"BOER_2_60","BOER","2","60",3,11
"132",1994,"BOER_2_84","BOER","2","84",3,12
"133",1994,"BOER_3_108","BOER","3","108",3,13
"134",1994,"BOER_3_12","BOER","3","12",3,14
"135",1994,"BOER_3_132","BOER","3","132",3,15
"136",1994,"BOER_3_36","BOER","3","36",3,16
"137",1994,"BOER_3_60","BOER","3","60",3,17
"138",1994,"BOER_3_84","BOER","3","84",3,18
"139",1994,"BOER_4_108","BOER","4","108",3,19
"140",1994,"BOER_4_12","BOER","4","12",3,20
"141",1994,"BOER_4_132","BOER","4","132",3,21
"142",1994,"BOER_4_36","BOER","4","36",3,22
"143",1994,"BOER_4_60","BOER","4","60",3,23
"144",1994,"BOER_4_84","BOER","4","84",3,24
"145",1994,"BOER_5_108","BOER","5","108",3,25
"146",1994,"BOER_5_12","BOER","5","12",3,26
"147",1994,"BOER_5_132","BOER","5","132",3,27
"148",1994,"BOER_5_36","BOER","5","36",3,28
"149",1994,"BOER_5_60","BOER","5","60",3,29
"150",1994,"BOER_5_84","BOER","5","84",3,30
"151",1994,"LATR_1_108","LATR","1","108",3,31
"152",1994,"LATR_1_12","LATR","1","12",3,32
"153",1994,"LATR_1_132","LATR","1","132",3,33
"154",1994,"LATR_1_36","LATR","1","36",3,34
"155",1994,"LATR_1_60","LATR","1","60",3,35
"156",1994,"LATR_1_84","LATR","1","84",3,36
"157",1994,"LATR_2_108","LATR","2","108",3,37
"158",1994,"LATR_2_12","LATR","2","12",3,38
"159",1994,"LATR_2_132","LATR","2","132",3,39
"160",1994,"LATR_2_36","LATR","2","36",3,40
"161",1994,"LATR_2_60","LATR","2","60",3,41
"162",1994,"LATR_2_84","LATR","2","84",3,42
"163",1994,"LATR_3_108","LATR","3","108",3,43
"164",1994,"LATR_3_12","LATR","3","12",3,44
"165",1994,"LATR_3_132","LATR","3","132",3,45
"166",1994,"LATR_3_36","LATR","3","36",3,46
"167",1994,"LATR_3_60","LATR","3","60",3,47
"168",1994,"LATR_3_84","LATR","3","84",3,48
"169",1994,"LATR_4_108","LATR","4","108",3,49
"170",1994,"LATR_4_12","LATR","4","12",3,50
"171",1994,"LATR_4_132","LATR","4","132",3,51
"172",1994,"LATR_4_36","LATR","4","36",3,52
"173",1994,"LATR_4_60","LATR","4","60",3,53
"174",1994,"LATR_4_84","LATR","4","84",3,54
"175",1994,"LATR_5_108","LATR","5","108",3,55
"176",1994,"LATR_5_12","LATR","5","12",3,56
"177",1994,"LATR_5_132","LATR","5","132",3,57
"178",1994,"LATR_5_36","LATR","5","36",3,58
"179",1994,"LATR_5_60","LATR","5","60",3,59
"180",1994,"LATR_5_84","LATR","5","84",3,60
"181",1995,"BOER_1_108","BOER","1","108",4,1
"182",1995,"BOER_1_12","BOER","1","12",4,2
"183",1995,"BOER_1_132","BOER","1","132",4,3
"184",1995,"BOER_1_36","BOER","1","36",4,4
"185",1995,"BOER_1_60","BOER","1","60",4,5
"186",1995,"BOER_1_84","BOER","1","84",4,6
"187",1995,"BOER_2_108","BOER","2","108",4,7
"188",1995,"BOER_2_12","BOER","2","12",4,8
"189",1995,"BOER_2_132","BOER","2","132",4,9
"190",1995,"BOER_2_36","BOER","2","36",4,10
"191",1995,"BOER_2_60","BOER","2","60",4,11
"192",1995,"BOER_2_84","BOER","2","84",4,12
