"","SP_CODE","AVG_SIZE"
"1","AHOL",7.64245815083799
"2","ANDA",23.5369458128079
"3","AUFL",10.8963963963964
"4","BFRE",8.7455121436114
"5","BRAY",90.5652173913043
"6","CAGG",7.1647634584013
"7","CAPR",34.5714285714286
"8","CLIN",8.91099476963351
"9","CNIC",6.45249326415094
"10","CPUN",9.89355356733196
"11","CSAT",24.6060606060606
"12","CSTI",6.60594506859756
"13","CVEN",45.4545454545455
"14","DVAC",17.5085836909871
"15","EJAC",16.6796917996698
"16","ELAT",15.6446280991736
"17","GAGA",181.666666666667
"18","GNIG",33.5079030558483
"19","GYMO",46.6666666666667
"20","HARG",15.1061946902655
"21","HCAR",13.8597616865261
"22","HDEC",24.6470588235294
"23","HEFR",50.5
"24","HROS",13.0822784810127
"25","HRUB",25.5622188905547
"26","HSEM",16.7432432432432
"27","LDAL",4.20306261118509
"28","LHIR",15.03999998
"29","MCAL",24.843853820598
"30","NBLA",8.81052631578947
"31","NOCE",170
"32","OCAL",13.0707662939733
"33","OELO",42.5625
"34","OPIC",10.9790447124807
"35","PCAL",27.969696969697
"36","PCLA",22.8835393623943
"37","PFUR",12.7367458866545
"38","PLTR",42.3333333333333
"39","PNEB",30.04329004329
"40","PONO",24
"41","PTRY",68.25
"42","RPRO",42
"43","RTOX",28.0655105973025
"44","SATR",21.2148829431438
"45","SAUR",12.3474178403756
"46","SCAL",109.545454545455
"47","SCAR",12.1708542713568
"48","SCAU",9.76811594202899
"49","SCHR",20.2487804878049
"50","SFLA",14.6
"51","SGIG",18
"52","SGUT",17.2307692307692
"53","SMAR",24.7551020408163
"54","SMIN",6.78260869565217
"55","SMYS",9.19587155963303
"56","SPAR",28.448275862069
"57","SPAU",9.50684931506849
"58","SPUL",28.6448011165387
"59","SRAS",23.59375
"60","SSER",15.482428115016
"61","STRE",17.9411764705882
"62","TSEM",75.7692307692308
"63","XCAL",9.8
